statistic,year,sex,age,unit,value
Median Annual Earnings,2015,Male,50 - 59 years,Euro,43977
Median Annual Earnings,2015,Male,60 years and over,Euro,33438
Median Annual Earnings,2015,Female,15 - 24 years,Euro,15666
Median Annual Earnings,2015,Female,15 years and over,Euro,30272
Median Annual Earnings,2015,Female,25 - 29 years,Euro,26850
Median Annual Earnings,2015,Female,30 - 39 years,Euro,34170
Median Annual Earnings,2015,Female,40 - 49 years,Euro,33591
Median Annual Earnings,2015,Female,50 - 59 years,Euro,31149
Median Annual Earnings,2015,Female,60 years and over,Euro,21632
Median Annual Earnings,2016,Male,15 - 24 years,Euro,18916
Median Annual Earnings,2016,Male,15 years and over,Euro,37328
Median Annual Earnings,2016,Male,25 - 29 years,Euro,29640
Median Annual Earnings,2016,Male,30 - 39 years,Euro,37456
Median Annual Earnings,2016,Male,40 - 49 years,Euro,44394
Median Annual Earnings,2016,Male,50 - 59 years,Euro,43825
Median Annual Earnings,2016,Male,60 years and over,Euro,33873
Median Annual Earnings,2016,Female,15 - 24 years,Euro,16345
Median Annual Earnings,2016,Female,15 years and over,Euro,30507
Median Annual Earnings,2016,Female,25 - 29 years,Euro,27687
Median Annual Earnings,2016,Female,30 - 39 years,Euro,34028
Median Annual Earnings,2016,Female,40 - 49 years,Euro,33960
Median Annual Earnings,2016,Female,50 - 59 years,Euro,31270
Median Annual Earnings,2016,Female,60 years and over,Euro,22359
Median Annual Earnings,2017,Male,15 - 24 years,Euro,19354
Median Annual Earnings,2017,Male,15 years and over,Euro,37960
Median Annual Earnings,2017,Male,25 - 29 years,Euro,30698
Median Annual Earnings,2017,Male,30 - 39 years,Euro,38319
Median Annual Earnings,2017,Male,40 - 49 years,Euro,44730
Median Annual Earnings,2017,Male,50 - 59 years,Euro,44078
Median Annual Earnings,2017,Male,60 years and over,Euro,34389
Median Annual Earnings,2017,Female,15 - 24 years,Euro,16575
Median Annual Earnings,2017,Female,15 years and over,Euro,31153
Median Annual Earnings,2017,Female,25 - 29 years,Euro,28777
Median Annual Earnings,2017,Female,30 - 39 years,Euro,34595
Median Annual Earnings,2017,Female,40 - 49 years,Euro,34750
Median Annual Earnings,2017,Female,50 - 59 years,Euro,31916
Median Annual Earnings,2017,Female,60 years and over,Euro,22982
Median Annual Earnings,2018,Male,15 - 24 years,Euro,20060
Median Annual Earnings,2018,Male,15 years and over,Euro,39279
Median Annual Earnings,2018,Male,25 - 29 years,Euro,32116
Median Annual Earnings,2018,Male,30 - 39 years,Euro,39799
Median Annual Earnings,2018,Male,40 - 49 years,Euro,45910
Median Annual Earnings,2018,Male,50 - 59 years,Euro,45057
Median Annual Earnings,2018,Male,60 years and over,Euro,35136
Median Annual Earnings,2018,Female,15 - 24 years,Euro,17128
Median Annual Earnings,2018,Female,15 years and over,Euro,32014
Median Annual Earnings,2018,Female,25 - 29 years,Euro,30192
Median Annual Earnings,2018,Female,30 - 39 years,Euro,35526
Median Annual Earnings,2018,Female,40 - 49 years,Euro,35722
Median Annual Earnings,2018,Female,50 - 59 years,Euro,32760
Median Annual Earnings,2018,Female,60 years and over,Euro,24000
Median Annual Earnings,2019,Male,15 - 24 years,Euro,21078
Median Annual Earnings,2019,Male,15 years and over,Euro,40517
Median Annual Earnings,2019,Male,25 - 29 years,Euro,33716
Median Annual Earnings,2019,Male,30 - 39 years,Euro,41354
Median Annual Earnings,2019,Male,40 - 49 years,Euro,47222
Median Annual Earnings,2019,Male,50 - 59 years,Euro,46039
Median Annual Earnings,2019,Male,60 years and over,Euro,36285
Median Annual Earnings,2019,Female,15 - 24 years,Euro,17857
Median Annual Earnings,2019,Female,15 years and over,Euro,33056
